age,monthly_income,loan_amount,credit_score,employment_years,existing_loans,default
56,29394,900902,815,2.1,2,0
69,65200,586961,584,5.0,2,0
46,71644,714769,647,6.7,1,0
32,36882,1223660,678,0.9,0,0
60,30851,392396,673,5.5,0,0
25,128760,181255,685,1.0,2,0
38,56190,1252815,850,1.3,0,0
56,71795,289577,593,3.8,2,0
36,29934,254671,622,1.7,2,0
40,23586,105139,811,5.4,2,0
28,34833,698734,630,15.6,2,0
28,45505,120914,711,0.8,1,0
41,25886,242751,762,4.2,1,0
53,48732,708276,718,12.8,1,0
57,17798,788223,695,1.0,0,0
41,25033,262665,755,2.3,3,0
20,73316,397391,608,0.7,3,0
39,70422,220119,640,5.1,2,0
19,38749,285296,722,5.5,3,0
41,26617,547420,514,5.5,2,1
61,26464,296168,793,3.9,1,0
47,39184,363897,704,6.9,1,0
55,72165,137068,692,0.2,2,0
19,85557,1095109,549,15.8,4,1
38,36391,665339,577,1.3,1,0
50,24536,834279,648,0.6,3,1
29,57567,1242132,744,14.2,3,0
39,29907,228623,513,8.9,1,1
61,35919,332130,743,7.2,2,0
42,108571,97161,651,0.6,1,0
66,80520,5000000,662,8.2,3,1
44,53894,392515,700,4.7,0,0
59,22853,1015592,701,6.6,1,0
45,55650,164303,623,19.1,2,0
33,92743,981768,729,1.1,2,0
32,39129,1955336,494,3.5,2,1
64,110267,421584,643,7.0,0,0
68,106473,197066,692,2.8,3,0
61,133017,395918,652,0.3,1,0
69,58873,74502,533,0.6,3,1
20,69733,429205,740,4.6,1,0
54,114520,853220,580,1.7,2,0
68,64115,429936,674,0.7,2,0
24,36288,352458,692,2.1,1,0
38,37454,674720,681,1.1,3,0
26,56564,717278,773,0.1,1,0
56,22599,117251,675,0.8,1,0
35,44983,474994,714,10.7,2,0
21,94648,3105819,675,0.1,0,0
42,15000,152053,729,7.4,2,0
31,123092,413190,791,7.0,1,0
67,96126,2091510,691,4.2,0,0
26,37202,1070182,742,1.2,5,0
43,67916,293397,796,10.5,0,0
19,49113,521731,788,3.2,0,0
37,102538,441666,649,1.0,2,0
45,88398,243176,762,2.8,2,0
64,21161,416898,699,1.1,1,0
24,69728,353637,769,2.4,1,0
61,43330,484173,725,3.4,0,0
25,51518,243115,702,2.2,4,0
64,31669,159325,714,5.4,4,0
52,139927,428041,700,13.7,2,0
31,91494,1744702,703,2.1,1,0
34,31449,472485,667,2.2,4,0
53,22009,339328,659,6.7,1,0
67,38894,808769,821,3.8,3,0
57,63621,389782,718,2.8,0,0
21,56620,1971738,634,8.4,1,1
19,103972,441030,657,11.1,0,0
23,78743,774829,764,4.5,1,0
59,87705,241908,621,1.0,1,0
21,59641,661636,561,3.1,2,1
46,21299,551322,567,3.5,0,1
35,43589,422859,541,2.8,2,0
43,92600,296141,576,1.5,1,0
61,47528,265554,585,3.2,1,0
51,66293,554533,790,3.0,1,0
27,40487,731718,676,1.2,0,0
53,26426,399620,650,11.7,0,0
31,45523,556718,564,10.8,1,1
48,59008,429195,668,7.1,1,0
65,33076,478695,541,2.6,5,1
32,42555,376865,650,2.3,1,0
25,27898,448820,845,6.3,1,0
31,95946,3830218,733,4.7,3,0
40,41082,567676,663,4.6,2,0
57,117201,741356,735,0.7,2,0
38,122669,628077,638,4.8,2,0
33,46694,358522,615,11.6,1,0
62,26767,1245679,816,0.4,2,0
35,15000,350483,588,2.1,0,1
64,20267,1028944,651,3.6,2,1
41,21497,338620,704,5.8,0,0
43,112092,205257,605,0.5,3,0
42,52548,592624,732,10.3,0,0
62,61930,182821,655,0.2,1,0
58,15000,679092,733,9.7,3,0
46,23890,170190,726,0.1,4,0
32,83470,342762,660,0.8,2,0
62,58224,140732,816,8.1,3,0
18,44876,4236862,626,9.8,2,1
42,68796,117810,787,20.2,0,0
24,130807,445900,773,0.6,1,0
26,42932,1104212,821,3.7,1,0
41,51104,1013691,693,0.4,3,0
18,55025,874208,616,0.9,0,1
61,205924,343251,846,1.0,1,0
25,15000,1303901,653,0.3,3,1
41,73860,918698,614,11.2,1,0
28,45757,524310,664,0.7,4,0
68,68875,536308,601,5.0,3,0
34,33043,346924,722,4.9,2,0
25,47601,213689,631,1.1,3,0
52,75120,1190305,657,32.2,1,0
52,317345,1263967,757,2.1,1,0
50,79604,218100,729,11.8,1,0
22,29470,391199,681,14.8,3,0
59,38015,394455,693,14.9,1,0
56,37344,431005,680,7.0,0,0
58,16690,465764,645,1.5,2,1
45,40213,943629,679,0.6,2,0
24,76091,243342,719,4.2,2,0
26,22821,224790,669,2.2,1,0
25,91958,1189800,713,8.9,1,0
29,65687,305554,613,6.8,3,0
51,31554,161066,631,1.6,1,0
50,45029,300107,621,0.1,3,0
65,127898,339747,634,1.4,1,0
40,76124,1534891,782,4.2,1,0
41,49279,927141,738,0.4,1,0
54,42505,1107943,593,5.4,1,1
52,51326,852542,714,5.6,1,0
61,36060,943163,648,0.9,1,0
57,15000,255131,625,4.5,0,0
39,166926,377421,561,4.7,0,0
44,53808,200399,757,3.3,0,0
52,62248,373849,570,15.3,0,0
18,47346,764734,675,0.6,1,0
52,31537,492705,604,2.6,1,0
54,43846,1263232,742,10.7,1,0
64,18776,177525,653,2.4,3,0
31,192192,660129,669,2.8,2,0
20,23371,162975,671,5.5,2,0
18,26392,477033,704,5.5,1,0
22,37640,799919,681,0.1,1,1
43,106175,372651,676,3.0,1,0
31,49449,687557,638,2.0,2,0
56,23349,205297,554,4.9,2,0
44,104047,116896,590,4.1,0,0
26,76008,690812,737,5.3,1,0
32,67714,1785498,655,5.3,4,0
32,75315,199419,626,1.5,1,0
43,206203,1176148,567,1.4,3,1
59,181871,458052,542,2.3,1,0
30,32466,151971,623,1.4,2,1
68,129875,178938,751,5.7,2,0
49,61691,448035,635,4.6,1,0
56,66135,320113,712,1.2,0,0
66,17758,154766,631,10.8,3,0
69,44256,114092,731,3.1,1,0
49,30100,224723,651,0.7,3,0
21,80566,516611,581,1.2,0,0
47,93213,440153,658,3.9,3,0
54,15000,296265,826,2.1,3,0
40,48376,519961,823,9.5,1,0
56,96097,1016647,718,3.4,0,0
62,43826,606403,669,12.3,2,0
32,75920,401496,704,0.5,2,0
60,60518,929551,705,5.5,3,0
46,60174,205277,676,10.8,1,0
53,41656,369558,715,1.7,0,0
30,23624,376671,696,0.7,0,0
49,25011,164462,654,3.0,0,0
24,75027,316190,584,16.3,3,0
68,49596,84122,643,5.0,0,0
39,45111,2042617,743,5.2,2,0
45,38012,208995,677,5.6,3,0
19,40818,1573623,704,0.2,0,1
59,91871,456100,657,2.9,2,0
62,40088,695155,595,0.4,2,1
23,21924,299227,660,1.9,1,0
45,76587,522480,598,8.6,1,0
45,43350,744443,593,5.3,1,1
61,49952,752865,776,27.1,0,0
61,128610,822265,646,0.9,3,0
37,48419,329500,620,2.5,1,0
47,58308,301254,809,8.3,1,0
28,24164,123581,745,1.2,1,0
45,42967,672377,650,0.8,0,0
42,70665,1051683,714,2.8,2,0
56,19279,1611676,661,2.4,1,1
50,55298,564749,624,19.6,2,0
18,52076,239621,717,3.0,0,0
44,50250,113814,654,9.9,0,0
69,91335,1017982,686,10.9,4,0
30,59913,105132,761,0.9,3,0
58,118995,336891,752,6.3,2,0
20,27006,369739,635,1.6,1,1
56,53186,418501,718,0.5,1,0
23,51569,455268,589,10.4,1,0
25,25808,494112,716,1.7,3,0
44,87009,64068,691,2.1,1,0
26,197758,447631,710,2.0,1,0
54,48523,74335,656,1.1,2,0
50,66370,794743,846,2.9,2,0
68,51570,283764,607,2.8,0,0
59,31947,78776,757,2.6,2,0
61,16441,230645,597,12.4,2,1
41,32097,280390,720,2.1,1,0
32,21265,1146884,726,0.2,2,1
49,136279,517782,684,1.0,1,0
49,45749,582774,640,6.4,1,0
41,39832,1138221,691,4.5,3,0
58,83574,409660,701,15.2,2,0
69,25007,808835,823,5.9,1,0
66,30942,764585,610,1.1,4,1
66,51064,158074,635,0.6,3,0
69,90876,1437458,702,3.7,0,0
29,66238,142025,659,5.5,0,0
56,56896,921624,671,0.9,2,0
19,51373,131444,765,4.6,3,0
20,62326,715680,454,10.0,5,1
66,55325,1962111,632,6.5,2,1
54,26423,373105,540,5.5,0,1
66,50395,360380,584,7.8,1,0
34,25739,720969,850,0.5,0,0
66,51464,339925,727,1.1,0,0
19,36739,1894798,756,0.2,5,0
19,224948,515944,673,0.8,0,0
45,47861,342444,740,12.2,1,0
40,21109,287153,538,1.3,0,1
54,45228,209743,763,5.4,0,0
49,66944,267746,614,5.9,2,0
50,133788,334188,637,5.2,2,0
18,34417,299505,720,4.0,1,0
36,18968,261309,705,3.3,0,0
19,80025,2371594,686,2.7,1,0
61,21410,194060,570,12.4,1,0
43,37733,497477,687,0.0,1,0
49,42000,710707,756,0.3,3,0
23,47014,732403,637,3.4,1,0
49,74124,422149,785,2.0,4,0
21,32526,364921,610,2.6,0,0
28,41596,634909,680,30.7,1,0
34,48602,547554,802,7.5,3,0
55,53624,359630,625,10.5,3,0
41,51984,126816,764,2.3,3,0
22,63678,304267,837,1.4,3,0
69,81332,176797,693,7.3,0,0
51,62042,259437,637,8.2,0,0
23,64353,454329,618,4.0,2,0
